h,delta,p,theta,file
44.610953,24.449968,0.075874,76.986800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T083432C3o.log"
61.933492,24.452859,0.075895,75.001700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T094340C3o.log"
35.538792,24.444959,0.075876,76.816700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T075820C3o.log"
50.327712,24.454856,0.075878,76.594500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T085721C3o.log"
50.626485,24.450722,0.075869,76.562700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T085834C3o.log"
64.465325,24.449355,0.075892,74.549200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T095346C3o.log"
54.667607,24.451361,0.075880,76.107900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091441C3o.log"
47.933801,24.450365,0.075904,76.788700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084748C3o.log"
32.523817,24.444722,0.075869,76.486500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T074621C3o.log"
37.683550,24.445120,0.075874,76.977200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T080655C3o.log"
66.309972,24.458213,0.075878,74.219600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T100109C3o.log"
60.687774,24.448377,0.075873,75.203900,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T093844C3o.log"
44.916410,24.454157,0.075881,76.989400,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T083547C3o.log"
58.005128,24.451982,0.075886,75.643000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T092801C3o.log"
42.749007,24.453912,0.075907,77.070000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T082709C3o.log"
51.853105,24.446739,0.075888,76.431500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T090328C3o.log"
47.017254,24.454416,0.075866,76.871200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084408C3o.log"
40.143288,24.449491,0.075902,77.062000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081645C3o.log"
65.687909,24.453849,0.075883,74.297600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T095842C3o.log"
46.083960,24.454281,0.075903,76.939200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T084027C3o.log"
61.311537,24.452699,0.075900,75.127800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T094112C3o.log"
39.224203,24.445241,0.075867,77.065300,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T081305C3o.log"
36.152252,24.453339,0.075873,76.917600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T080047C3o.log"
64.151375,24.457577,0.075877,74.656500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T095233C3o.log"
